Fecha,Tasa_Referencia_PM,Expectativas_Economia,Tipo_Cambio_Promedio,PBI_Mensual,IPC
2015-01-01,3.25,54.2319749216301,3.006785,138.460175777567,81.1311585614732
2015-02-01,3.25,50.1577287066246,3.079435,137.71132388002,81.3773664204482
2015-03-01,3.25,49.388379204893,3.09223636363636,148.546290364216,81.9996299525466
2015-04-01,3.25,46.7422096317281,3.12064,152.200337981853,82.3198438304482
2015-05-01,3.25,45.0704225352113,3.151345,150.244922506151,82.7844285692493
2015-06-01,3.25,50.625,3.16178095238095,150.610121075877,83.0595554554826
2015-07-01,3.25,46.7191601049869,3.181965,153.229898260221,83.4339766262131
2015-08-01,3.25,42.2222222222222,3.23944285714286,149.403563231649,83.7487113799077
2015-09-01,3.5,43.2225063938619,3.21864545454545,151.861892301898,83.771774250334
2015-10-01,3.5,44.9720670391061,3.24952,155.549094128563,83.8913998281912
2015-11-01,3.5,44.8126801152738,3.3382,153.202162271233,84.1800464238952
2015-12-01,3.75,44.5983379501385,3.38377619047619,170.075427525341,84.5552549887266
2016-01-01,4.0,42.5141242937853,3.43865,143.363146396436,84.8702404031536
2016-02-01,4.25,46.6759002770083,3.50695714285714,146.558400926671,85.0179920593596
2016-03-01,4.25,46.398891966759,3.40692857142857,153.818837101503,85.5265000574541
2016-04-01,4.25,54.1666666666667,3.3011,156.410954923402,85.5362556898337
2016-05-01,4.25,53.4435261707989,3.33468181818182,157.567171398527,85.7155086648867
2016-06-01,4.25,54.3478260869565,3.3161,155.999797524386,85.8350891099251
2016-07-01,4.25,60.9756097560976,3.29947368421053,158.716457027971,85.9052567561972
2016-08-01,4.25,61.9760479041916,3.33382727272727,158.029748130518,86.213043138844
2016-09-01,4.25,62.3475609756098,3.38245909090909,158.709295819074,86.3910421158843
2016-10-01,4.25,60.8150470219436,3.38601904761905,158.941163362872,86.7481433937979
2016-11-01,4.25,58.3577712609971,3.40348947368421,158.59203288718,86.9997685797355
2016-12-01,4.25,57.2625698324022,3.39542380952381,175.992935331426,87.2905176704464
2017-01-01,4.25,56.6765578635015,3.33987272727273,150.554413403497,87.4981321088573
2017-02-01,4.25,54.6178343949045,3.259575,147.712309136332,87.7809010228465
2017-03-01,4.25,43.8080495356037,3.26398260869565,155.608808570711,88.9260539521744
2017-04-01,4.25,53.5714285714286,3.24775555555556,156.899059737852,88.6965771763182
2017-05-01,4.0,54.1543026706232,3.27346363636364,163.33156195353,88.3210908710632
2017-06-01,4.0,53.0523262023926,3.267975,162.193122141906,88.1804847816058
2017-07-01,3.75,54.7965126037598,3.24937368421053,162.256125269104,88.3553341822423
2017-08-01,3.75,56.2682228088379,3.24155909090909,162.550138875026,88.9492813838017
2017-09-01,3.5,60.1369857788086,3.24652380952381,164.031033095706,88.9352541037068
2017-10-01,3.5,64.1428604125977,3.25129545454545,164.678679688263,88.5179296753887
2017-11-01,3.25,62.6099700927734,3.24079047619048,161.815118596061,88.3433392676972
2017-12-01,3.25,53.654972076416,3.2465,178.490460094267,88.4819074367963
2018-01-01,3.0,58.5365867614746,3.21490952380952,154.879293990838,88.594648523903
2018-02-01,3.0,54.9363059997559,3.24881,151.722195718813,88.8163305147703
2018-03-01,2.75,53.538459777832,3.252255,161.649389086095,89.2489764935573
2018-04-01,2.75,58.5626907348633,3.230685,169.583901235581,89.1266401691656
2018-05-01,2.75,59.7345123291016,3.27410909090909,174.287295179462,89.1430886514034
2018-06-01,2.75,57.803466796875,3.271345,165.553959285446,89.440878461853
2018-07-01,2.75,58.9665641784668,3.27722380952381,166.486575634212,89.7832456102935
2018-08-01,2.75,58.5329322814941,3.28871904761905,166.321691188134,89.9015505324364
2018-09-01,2.75,55.1282043457031,3.31181,167.951493486291,90.0738752726222
2018-10-01,2.75,52.3809509277344,3.33476818181818,171.403914097546,90.1474507938922
2018-11-01,2.75,55.4517135620117,3.37565,170.001467613855,90.2578255325897
2018-12-01,2.75,58.3032493591309,3.36438421052632,186.893342384759,90.4218937443323
2019-01-01,2.75,58.1210174560547,3.34381363636364,157.482502314825,90.4809684380851
2019-02-01,2.75,58.4935913085938,3.3216,154.878424624148,90.595663429072
2019-03-01,2.75,59.6026496887207,3.30431904761905,167.119456319191,91.2547942250017
2019-04-01,2.75,55.8631935119629,3.303405,169.574628619219,91.4373773077339
2019-05-01,2.75,52.9051971435547,3.33350454545455,175.486072401413,91.5723515157514
2019-06-01,2.75,49.8475608825684,3.325475,170.217898267909,91.493350335306
2019-07-01,2.75,49.1071434020996,3.29040476190476,173.028590011364,91.6793898976101
2019-08-01,2.5,45.238094329834,3.37871,172.500539572942,91.7352934900762
2019-09-01,2.5,46.8023262023926,3.35719047619048,172.203975086452,91.7411489525572
2019-10-01,2.5,47.0031547546387,3.36007619047619,176.047613047137,91.8427297350918
2019-11-01,2.25,49.6987953186035,3.372715,173.934689682649,91.9427558656052
2019-12-01,2.25,50.7716064453125,3.3547380952381,189.219406974234,92.1399925330876
2020-01-01,2.25,52.9239768981934,3.32776363636364,162.692393707889,92.1895712817569
2020-02-01,2.25,48.187313079834,3.39138,161.981921177803,92.3206390707161
2020-03-01,1.25,21.8120803833008,3.49255454545455,137.707357385143,92.9170303880033
2020-04-01,0.25,9.13705539703369,3.39842,102.98014440491,93.0142055130683
2020-05-01,0.25,14.3369178771973,3.42185,118.063295263354,93.204097335048
2020-06-01,0.25,28.7822875976563,3.47109523809524,139.409232720291,92.9560841633195
2020-07-01,0.25,34.790210723877,3.51734090909091,153.966379502575,93.3861811793687
2020-08-01,0.25,38.1188125610352,3.56454761904762,156.690282223892,93.2832332195989
2020-09-01,0.25,46.5686274509804,3.55575909090909,162.09575839981,93.4104286127018
2020-10-01,0.25,50.1628664495114,3.59613636363636,170.307333543608,93.4260987274024
2020-11-01,0.25,52.8052805280528,3.60871904761905,170.251379480201,93.9123624949692
2020-12-01,0.25,49.5,3.60324285714286,191.141900983468,93.9581285619732
2021-01-01,0.25,41.1764705882353,3.62495,161.039020492527,94.6561451002628
2021-02-01,0.25,44.2176870748299,3.64569,155.75222458725,94.5375735473133
2021-03-01,0.25,51.1824324324324,3.70917826086957,165.015882395836,95.3311869507106
2021-04-01,0.25,39.7151898734177,3.699525,164.602563808849,95.2313830125361
2021-05-01,0.25,44.8387096774194,3.77475714285714,175.378583909052,95.4852294275117
2021-06-01,0.25,39.4736842105263,3.91160476190476,171.983369888926,95.9814390796482
2021-07-01,0.25,42.9328621908127,3.942455,174.350693240047,96.948489573628
2021-08-01,0.5,33.5640138408305,4.08725238095238,175.383657758946,97.9033694822447
2021-09-01,1.0,35.0,4.10805454545454,178.236346881491,98.2953966184284
2021-10-01,1.5,42.5182481751825,4.01368,178.331396649967,98.8691125131803
2021-11-01,2.0,40.1079136690648,4.02049523809524,176.527339762404,99.2232454403164
2021-12-01,2.5,41.2213740458015,4.03686818181818,194.936879160266,100.0
2022-01-01,3.0,44.4816053511706,3.88834285714286,165.906487778879,100.037268
2022-02-01,3.5,44.5205479452055,3.790945,163.227139546207,100.34884
2022-03-01,4.0,38.986013986014,3.73862173913043,171.393273608675,101.836672
2022-04-01,4.5,34.9122807017544,3.74100526315789,171.223383264612,102.816232
2022-05-01,5.0,36.0627177700348,3.75727727272727,179.807685059117,103.211072
2022-06-01,5.5,34.115523465704,3.74843809523809,178.364532783983,104.439931
2022-07-01,6.0,34.2857142857143,3.90343684210526,177.809997057302,105.422597
2022-08-01,6.5,35.5633802816901,3.87355909090909,178.898322930309,106.125283
2022-09-01,6.75,36.525974025974,3.89895909090909,182.094101692026,106.679849
2022-10-01,7.0,35.7394366197183,3.97934761904762,183.007886719276,107.050724
2022-11-01,7.25,37.9310344827586,3.87657619047619,180.465982030211,107.604861
2022-12-01,7.5,42.3636363636364,3.828975,197.550132412442,108.459162
2023-01-01,7.75,31.8840579710145,3.83380476190476,164.852836819838,108.704764
2023-02-01,7.75,41.4855072463768,3.84146,162.420064133247,109.024924
2023-03-01,7.75,42.9090909090909,3.77916086956522,172.703392860788,110.391537
2023-04-01,7.75,43.9338235294118,3.76545,172.352711850492,111.005592
2023-05-01,7.75,44.5054945054945,3.68866818181818,177.654740284078,111.358436
2023-06-01,7.75,42.7777777777778,3.65041904761905,177.10026479388,111.188314
2023-07-01,7.75,44.4852941176471,3.601255,175.973030712117,111.623134
2023-08-01,7.75,44.0647482014389,3.69776818181818,178.886143690926,112.042985
2023-09-01,7.5,40.4059040590406,3.73099523809524,180.394851165467,112.061363
2023-10-01,7.25,38.6973180076628,3.84575909090909,181.663039831498,111.700024
2023-11-01,7.0,37.5925925925926,3.76079523809524,181.630005081622,111.517885
2023-12-01,6.75,41.1764705882353,3.73394210526316,195.53337418985,111.9704
2024-01-01,6.5,43.8432835820895,3.74074285714286,167.48640762558,111.991911
2024-02-01,6.25,47.1774193548387,3.8279380952381,167.544137358876,112.616278
2024-03-01,6.25,50.8,3.70898947368421,171.80411968069,113.75301
2024-04-01,6.0,50.0,3.71503181818182,181.637580582761,113.694232
2024-05-01,5.75,47.5285171102662,3.73172727272727,187.145406262209,113.591104
2024-06-01,5.75,50.3703703703704,3.7867052631579,177.35818717839,113.729392
2024-07-01,5.75,51.1363636363636,3.764135,184.15977194963,113.998099
2024-08-01,5.5,51.9305019305019,3.74185,185.561064544166,114.322048
2024-09-01,5.25,51.7716535433071,3.7689619047619,186.157547080084,114.050464
2024-10-01,5.25,51.7374517374517,3.75436363636364,188.077509874163,113.944279
2024-11-01,5.0,50.5769230769231,3.779135,189.141726955437,114.051561
2024-12-01,5.0,50.0,3.73553684210526,205.152412931891,114.172077
2025-01-01,4.75,52.5925925925926,3.74692272727273,174.452318511484,114.065534
2025-02-01,4.75,54.5454545454545,3.69685,172.186942827537,114.279991
2025-03-01,4.75,53.9344262295082,3.65248571428571,179.881141140626,115.205841
2025-04-01,4.75,52.1311475409836,3.70003,184.0980289293,115.572272
2025-05-01,4.5,53.9655172413793,3.65991428571429,192.100252600936,115.507003
2025-06-01,4.5,52.9032258064516,3.60219523809524,185.368159971926,115.655637
2025-07-01,4.5,54.5454545454545,3.556945,190.440393664288,115.9233
